campaign,contacts,conversions,conversion_rate
1,17642,2300,0.13037070626913047
2,10570,1211,0.11456953642384106
3,5341,574,0.10747051114023591
4,2651,249,0.0939268200678989
5,1599,120,0.075046904315197
6,979,75,0.07660878447395301
7,629,38,0.06041335453100159
8,400,17,0.0425
9,283,17,0.06007067137809187
10,225,12,0.05333333333333334
11,177,12,0.06779661016949153
12,125,3,0.024
13,92,4,0.043478260869565216
14,69,1,0.014492753623188406
15,51,2,0.0392156862745098
16,51,0,0.0
17,58,4,0.06896551724137931
18,33,0,0.0
19,26,0,0.0
20,30,0,0.0
21,24,0,0.0
22,17,0,0.0
23,16,1,0.0625
24,15,0,0.0
25,8,0,0.0
26,8,0,0.0
27,11,0,0.0
28,8,0,0.0
29,10,0,0.0
30,7,0,0.0
31,7,0,0.0
32,4,0,0.0
33,4,0,0.0
34,3,0,0.0
35,5,0,0.0
37,1,0,0.0
39,1,0,0.0
40,2,0,0.0
41,1,0,0.0
42,2,0,0.0
43,2,0,0.0
56,1,0,0.0
