variable,group,sample_size,actual_conversion_rate,selection_rate
age_group,<30,1095,0.15251141552511416,0.3470319634703196
age_group,30-44,4555,0.09967069154774973,0.1574094401756312
age_group,45-59,2344,0.09001706484641639,0.1476109215017065
age_group,60+,244,0.39344262295081966,0.8360655737704918
marital,divorced,937,0.11205976520811099,0.18036286019210246
marital,married,4975,0.10291457286432161,0.17065326633165828
marital,single,2311,0.13414106447425356,0.27087840761575077
marital,unknown,15,0.06666666666666667,0.2
education,basic.4y,854,0.09836065573770492,0.15456674473067916
education,basic.6y,427,0.07494145199063232,0.11475409836065574
education,basic.9y,1219,0.08531583264971287,0.11977030352748154
education,high.school,1919,0.11255862428348098,0.20114643043251693
education,illiterate,2,0.5,0.5
education,professional.course,1051,0.11607992388201713,0.19695528068506185
education,university.degree,2432,0.13363486842105263,0.26398026315789475
education,unknown,334,0.1317365269461078,0.25149700598802394
