feature,importance,share
nr.employed,0.04678290396952689,0.31383261449674954
emp.var.rate,0.022504813021840653,0.15096848870273694
cons.price.idx,0.017870860653804433,0.11988265897182726
contact_telephone,0.01613974273550641,0.10826984283165099
euribor3m,0.013616738997122546,0.09134483834458795
month_oct,0.006413686966366327,0.04302477996085
campaign,0.0049229547973960956,0.033024537684161144
cons.conf.idx,0.00454745064625689,0.030505552338934157
pdays,0.0034962218147082335,0.023453619589009694
age,0.002912180409453291,0.0195357088645086
previous,0.002373564201141554,0.01592252288154988
default_unknown,0.0019942936577196924,0.0133782715387684
day_of_week_wed,0.0007052661682155015,0.00473111984735593
month_jul,0.0006250589650454996,0.00419306782115615
month_may,0.0006029397023444405,0.004044685710273605
poutcome_success,0.0005870781050993146,0.003938281744056057
education_university.degree,0.00046353159347140016,0.0031094976912021113
previously_contacted,0.000424607292796797,0.0028483827536572915
job_housemaid,0.0003856461389688093,0.002587020595001815
day_of_week_tue,0.00038435627859805254,0.0025783678561133953
job_technician,0.00036340157554601846,0.00243779793234153
poutcome_nonexistent,0.0001943856431906754,0.0013039924726113337
job_self-employed,0.00013753596867779327,0.0009226291866278822
month_mar,0.00012807944950236073,0.0008591922495194513
month_aug,0.00012009705646492952,0.000805644156854886
job_student,8.901510684460323e-05,0.000597137871752168
job_services,8.09737487617368e-05,0.0005431942253104171
housing_unknown,7.459815321477769e-05,0.000500424973090005
day_of_week_thu,6.532589980657866e-05,0.0004382241415369456
day_of_week_mon,2.8561193924225846e-05,0.00019159636110291513
job_unemployed,2.1861290626923324e-05,0.0001466515631049659
month_sep,1.1874086041796516e-05,7.965464199665086e-05
marital_unknown,0.0,0.0
month_dec,0.0,0.0
loan_unknown,0.0,0.0
education_illiterate,0.0,0.0
default_yes,0.0,0.0
month_jun,-5.550084909666797e-06,0.0
marital_single,-1.1660337751795424e-05,0.0
job_unknown,-2.6777501297192696e-05,0.0
month_nov,-4.7046735695099875e-05,0.0
job_management,-4.748160290576342e-05,0.0
loan_yes,-0.0001008081159488583,0.0
education_high.school,-0.00015770938487665864,0.0
job_retired,-0.0001837203405820942,0.0
education_basic.9y,-0.00019514481815181562,0.0
marital_married,-0.00022984574744091545,0.0
job_entrepreneur,-0.0002638464668143992,0.0
education_unknown,-0.0002905355205434446,0.0
housing_yes,-0.0003207329944808324,0.0
education_professional.course,-0.0003702857446105545,0.0
education_basic.6y,-0.0004946651375064781,0.0
job_blue-collar,-0.0008498042360488567,0.0
